Amazona kawalli_Aemazoňan bielolíci
Amazona leucocephala_Aemazoňan bielohlavý
Amazona mercenarius_Aemazoňan zelený
Amazona ochrocephala_Aemazoňan štvorfarebný
Amazona oratrix_Aemazoňan žltohlavý
Amazona rhodocorytha_Aemazoňan belavolíci
Amazona tucumana_Aemazoňan nádherný
Amazona ventralis_Aemazoňan korunkatý
Amazona vinacea_Aemazoňan vínovoprsý
Amazona viridigenalis_Aemazoňan červenočelý
Amazona xantholora_Aemazoňan belizský
Amazonetta brasiliensis_Keačica amazoňanka
Amblycercus holosericeus_Čeašovec žltozobý
Amblyornis inornata_Zeáhradkár bezchochlatý
Amblyornis newtoniana_Golden Bowerbird
Amblyospiza albifrons_Zeobanka hrubozobá
Amblyramphus holosericeus_Velhovec šarlátový
Ammodramus aurifrons_Setrnádlik prieložný
Ammodramus humeralis_Setrnádlik úhorový
Ammodramus savannarum_Setrnádlik savanový
Ammomanes cinctura_Šekovránok púštny
Ammomanes deserti_Šekovránok bledý
Ammomanes phoenicura_Šekovránok hrdzavý
Ammonastes pelzelni_Peralesníček sivobruchý
Ammoperdix heyi_Čeiľ piesočný
Ammospiza caudacuta_Setrnádlik pobrežný
Ammospiza leconteii_Setrnádlik lúčny
Ammospiza maritima_Setrnádlik prímorský
Ammospiza nelsoni_Setrnádlik mokrinový
Ampelioides tschudii_Oevociar šupinatý
Ampelion rubrocristatus_Cehocholiar červenohrivý
Ampelion rufaxilla_Cehocholiar hnedohrivý
Ampelornis griseiceps_Meravcovka sivohlavá
Amphilais seebohmi_Gray Emutail
Amphispiza bilineata_Setrnádlik čiernohrdlý
Amphispiza quinquestriata_Setrnádlik päťpásy
Anabacerthia amaurotis_Leístiar stužkatý
Anabacerthia lichtensteini_Leístiar okrový
Anabacerthia ruficaudata_Leístiar červenochvostý
Anabacerthia striaticollis_Leístiar okuliarnatý
Anabacerthia variegaticeps_Leístiar vločkatohrdlý
Anabathmis newtonii_Neektárovka žltoprsá
Anabathmis reichenbachii_Neektárovka palmová
Anabazenops dorsalis_Leístiar bambusový
Anabazenops fuscus_Leístiar bielokrký
Anairetes alpinus_Čeelenkár peruánsky
Anairetes fernandezianus_Čeelenkár ostrovný
Anairetes flavirostris_Čeelenkár žltozobý
Anairetes nigrocristatus_Čeelenkár čiernochochlatý
Anairetes parulus_Čeelenkár sýkorčí
Anairetes reguloides_Čeelenkár rožkatý
Anas acuta_Keačica ostrochvostá
Anas andium_Keačica andská
Anas carolinensis_Keačica zelenokrídla
Anas castanea_Keačica gaštanová
Anas crecca_Keačica chrapka
Anas diazi_Keačica mexická
Anas flavirostris_Keačica žltozobá
Anas fulvigula_Keačica pobrežná
Anas georgica_Keačica jazerná
Anas gracilis_Keačica svetlobradá
Anas platyrhynchos_Keačica divá
Anas poecilorhyncha_Keačica pestrozobá
Anas rubripes_Keačica černastá
Anas superciliosa_Keačica pruhohlavá
Anas undulata_Keačica šupinatá
Anas zonorhyncha_Keačica čínska
Ancistrops strigilatus_Leístiar háčikozobý
Andigena hypoglauca_Teukaník tmavý
Andigena laminirostris_Teukaník horský
Andigena nigrirostris_Teukaník čiernozobý
Androdon aequatorialis_Jeagavička fŕkaná
Andropadus importunus_Aefrobyl bledooký
Anhima cornuta_Aenhima rohatá
Anhinga anhinga_Aenhinga jarabá
Anhinga melanogaster_Aenhinga tmavobruchá
Anhinga novaehollandiae_Aenhinga austrálska
Anisognathus igniventris_Teangara červenobruchá
Anisognathus lacrymosus_Teangara škvrnohlavá
Anisognathus notabilis_Teangara zlatobruchá
Anisognathus somptuosus_Teangara modrokrídla
Anodorhynchus hyacinthinus_Aera hyacintová
Anodorhynchus leari_Aera kobaltová
Anorrhinus galeritus_Zeobákorožec parochňový
Anorrhinus tickelli_Zeobákorožec hnedý
Anous minutus_Neody bielohlavý
Anous stolidus_Neody hnedý
Anser albifrons_Heus bieločelá
Anser anser_Heus divá
Anser brachyrhynchus_Heus krátkozobá
Anser caerulescens_Heus snežná
Anser canagicus_Heus bielohlavá
Anser cygnoides_Heus labutia
Anser erythropus_Heus malá
Anser fabalis_Heus siatinná
Anser indicus_Heus vrchovská
Anser rossii_Heus snežnička
Anser serrirostris_Heus tundrová
Anseranas semipalmata_Heusiarka strakatá
Anthipes monileger_Neiltava bielohrdlá
