Amazona kawalli_амазон бразильський
Amazona leucocephala_амазон кубинський
Amazona mercenarius_амазон андійський
Amazona ochrocephala_амазон тринідадський
Amazona oratrix_Yellow-headed Parrot
Amazona rhodocorytha_амазон червонобровий
Amazona tucumana_амазон тукуманський
Amazona ventralis_амазон домініканський
Amazona vinacea_амазон пурпурововолий
Amazona viridigenalis_амазон зеленощокий
Amazona xantholora_амазон юкатанський
Amazonetta brasiliensis_чирянка бразильська
Amblycercus holosericeus_касик жовтодзьобий
Amblyornis inornata_садороб буроголовий
Amblyornis newtoniana_Golden Bowerbird
Amblyospiza albifrons_ткачик білолобий
Amblyramphus holosericeus_трупіал червоноголовий
Ammodramus aurifrons_багновець жовтощокий
Ammodramus humeralis_багновець південний
Ammodramus savannarum_багновець прерієвий
Ammomanes cinctura_жайворонок вохристий
Ammomanes deserti_жайворонок пустельний
Ammomanes phoenicura_жайворонок рудохвостий
Ammonastes pelzelni_покривник сірочеревий
Ammoperdix heyi_куріпка аравійська
Ammospiza caudacuta_багновець гострохвостий
Ammospiza leconteii_багновець лучний
Ammospiza maritima_багновець приморський
Ammospiza nelsoni_багновець блідий
Ampelioides tschudii_плодоїд строкатий
Ampelion rubrocristatus_андець чорний
Ampelion rufaxilla_андець рудочубий
Ampelornis griseiceps_покривник сіроголовий
Amphilais seebohmi_Gray Emutail
Amphispiza bilineata_вівсянка-пустельниця чорногорла
Amphispiza quinquestriata_вівсянка-пустельниця білогорла
Anabacerthia amaurotis_тікотіко білобровий
Anabacerthia lichtensteini_філідор вохристий
Anabacerthia ruficaudata_філідор рудохвостий
Anabacerthia striaticollis_тікотіко гірський
Anabacerthia variegaticeps_тікотіко бурохвостий
Anabathmis newtonii_нектарка сан-томейська
Anabathmis reichenbachii_нектарка нігерійська
Anabazenops dorsalis_філідор-великодзьоб бурий
Anabazenops fuscus_філідор-великодзьоб білошиїй
Anairetes alpinus_торілон перуанський
Anairetes fernandezianus_торілон острівний
Anairetes flavirostris_торілон жовтодзьобий
Anairetes nigrocristatus_торілон червонодзьобий
Anairetes parulus_торілон жовтоокий
Anairetes reguloides_торілон рогатий
Anas acuta_шилохвіст північний
Anas andium_Andean Teal
Anas carolinensis_Green-winged Teal
Anas castanea_чирянка австралійська
Anas crecca_чирянка мала
Anas diazi_Mexican Duck
Anas flavirostris_чирянка жовтодзьоба
Anas fulvigula_Mottled Duck
Anas georgica_шилохвіст жовтодзьобий
Anas gracilis_Gray Teal
Anas platyrhynchos_крижень звичайний
Anas poecilorhyncha_крижень чорний
Anas rubripes_крижень американський
Anas superciliosa_крижень австралійський
Anas undulata_крижень жовтодзьобий
Anas zonorhyncha_Eastern Spot-billed Duck
Ancistrops strigilatus_тікотіко смугастобокий
Andigena hypoglauca_андигена блакитна
Andigena laminirostris_андигена строкатодзьоба
Andigena nigrirostris_андигена білощока
Androdon aequatorialis_колібрі гачкодзьобий
Andropadus importunus_бюльбюль білоокий
Anhima cornuta_паламедея
Anhinga anhinga_змієшийка американська
Anhinga melanogaster_змієшийка чорночерева
Anhinga novaehollandiae_Australasian Darter
Anisognathus igniventris_андагра червонощока
Anisognathus lacrymosus_андагра сиза
Anisognathus notabilis_андагра чорногорла
Anisognathus somptuosus_андагра жовтоголова
Anodorhynchus hyacinthinus_ара гіацинтовий
Anodorhynchus leari_ара синій
Anorrhinus galeritus_калао короткочубий
Anorrhinus tickelli_калао рудощокий
Anous minutus_крячок атоловий
Anous stolidus_крячок бурий
Anser albifrons_гуска білолоба
Anser anser_гуска сіра
Anser brachyrhynchus_гуменник короткодзьобий
Anser caerulescens_гуска біла
Anser canagicus_білошиєць
Anser cygnoides_гуска китайська
Anser erythropus_гуска мала
Anser fabalis_гуменник великий
Anser indicus_гуска гірська
Anser rossii_гуска Роса
Anser serrirostris_Tundra Bean-Goose
Anseranas semipalmata_урако
Anthipes monileger_мухоловка діамантова
Anthipes solitaris_мухоловка малазійська
Anthochaera carunculata_медолюб-сережник середній
Anthochaera chrysoptera_медолюб-сережник східний
Anthochaera lunulata_медолюб-сережник західний
Anthochaera paradoxa_медолюб-сережник великий
Anthornis melanura_макомако
Anthoscopus minutus_ремез південний
Anthoscopus musculus_ремез блідий
Anthracoceros albirostris_птах-носоріг малабарський
Anthracoceros coronatus_птах-носоріг індійський
Anthracoceros malayanus_птах-носоріг чорний
Anthracothorax dominicus_колібрі-манго антильський
Anthracothorax nigricollis_колібрі-манго чорногорлий
Anthracothorax prevostii_колібрі-манго зеленогрудий
Anthreptes malacensis_саїманга жовточерева
Anthreptes orientalis_саїманга пурпурова
Anthreptes simplex_саїманга однобарвна
Anthropoides paradiseus_Blue Crane
Anthropoides virgo_Demoiselle Crane
Anthus antarcticus_щеврик антарктичний
Anthus berthelotii_щеврик архипелаговий
Anthus bogotensis_щеврик андійський
Anthus brevirostris_Puna Pipit
Anthus campestris_щеврик польовий
Anthus cervinus_щеврик червоногрудий
Anthus chacoensis_щеврик парагвайський
Anthus cinnamomeus_щеврик рудий
Anthus correndera_щеврик патагонський
Anthus crenatus_щеврик скельний
Anthus furcatus_щеврик короткодзьобий
Anthus godlewskii_щеврик забайкальський
Anthus gustavi_щеврик сибірський
Anthus hellmayri_щеврик бурохвостий
Anthus hodgsoni_щеврик оливковий
Anthus leucophrys_щеврик-велет
Anthus lineiventris_щеврик смугастий
Anthus lutescens_щеврик пампасовий
Anthus nattereri_щеврик вохристий
Anthus novaeseelandiae_щеврик новозеландський
Anthus peruvianus_Peruvian Pipit
Anthus petrosus_щеврик острівний
Anthus pratensis_щеврик лучний
Anthus richardi_щеврик азійський
Anthus roseatus_щеврик рожевий
Anthus rubescens_щеврик американський
Anthus rufulus_щеврик іржастий
Anthus similis_щеврик довгодзьобий
Anthus spinoletta_щеврик гірський
Anthus spragueii_щеврик прерієвий
Anthus sylvanus_щеврик гімалайський
Anthus trivialis_щеврик лісовий
Antigone antigone_антігона, або журавель індійський
Antigone canadensis_журавель канадський
Antigone rubicunda_журавель австралійський
Antigone vipio_журавель даурський
Antilophia bokermanni_манакін арарипський
Antilophia galeata_манакін малиновоголовий
Antrostomus arizonae_Mexican Whip-poor-will
Antrostomus badius_дрімлюга юкатанський
Antrostomus carolinensis_дрімлюга каролінський
Antrostomus noctitherus_дрімлюга пуерто-риканський
Antrostomus ridgwayi_тукухіло
Antrostomus rufus_дрімлюга рудий
Antrostomus saturatus_дрімлюга коста-риканський
Antrostomus sericocaudatus_дрімлюга парагвайський
Antrostomus vociferus_дрімлюга канадський
Anumara forbesi_щетинкопер малий
Anumbius annumbi_анумбі смугастоголовий
Anurolimnas castaneiceps_Chestnut-headed Crake
Anurolimnas fasciatus_Black-banded Crake
Anurolimnas viridis_Russet-crowned Crake
Apalis chapini_нікорник гірський
Apalis cinerea_нікорник сірий
Apalis flavida_нікорник жовтоволий
Apalis melanocephala_нікорник чорноголовий
Apalis personata_нікорник чорнощокий
Apalis porphyrolaema_нікорник рудогорлий
Apalis ruddi_нікорник білобровий
Apalis rufogularis_нікорник білочеревий
Apalis sharpii_нікорник чорний
Apalis thoracica_нікорник смуговолий
Apaloderma narina_трогон зелений
Apaloderma vittatum_трогон смугастохвостий
Aphanotriccus audax_москверо панамський
Aphanotriccus capitalis_москверо білогорлий
Aphantochroa cirrochloris_Sombre Hummingbird
Aphelocephala leucopsis_білолобик бурий
Aphelocoma californica_сойка каліфорнійська
Aphelocoma coerulescens_сойка чагарникова
Aphelocoma insularis_сойка санта-крузька
Aphelocoma ultramarina_сойка мексиканська
Aphelocoma unicolor_сойка однобарвна
Aphelocoma wollweberi_Mexican Jay
Aphelocoma woodhouseii_Woodhouse's Scrub-Jay
Aphrastura spinicauda_раядито малий
Aplonis atrifusca_шпак-малюк самоанський
Aplonis cantoroides_шпак-малюк новогвінейський
Aplonis grandis_шпак-малюк соломонський
Aplonis metallica_шпак-малюк блискітливий
Aplonis mysolensis_шпак-малюк молуцький
Aplonis opaca_шпак-малюк мікронезійський
Aplonis panayensis_шпак-малюк філіпінський
Aplonis tabuensis_шпак-малюк полінезійський
Aprositornis disjuncta_покривник сірий
Aprosmictus erythropterus_папуга-червонокрил австралійський
Aptenodytes patagonicus_пінгвін королівський
Apteryx mantelli_North Island Brown Kiwi
Apus affinis_серпокрилець малий
Apus apus_серпокрилець чорний
Apus caffer_серпокрилець білогузий
Apus melba_Alpine Swift
Apus nipalensis_серпокрилець непальський
Apus pacificus_серпокрилець сибірський
Apus pallidus_серпокрилець блідий
Apus unicolor_серпокрилець канарський
Aquila adalberti_могильник іспанський
Aquila chrysaetos_беркут
Ara ararauna_араурана
Ara chloropterus_ара червоно-зелений
Ara macao_араканга
Ara militaris_ара зелений
Ara severus_ара синьокрилий
Arachnothera everetti_Bornean Spiderhunter
Arachnothera flavigaster_павуколов великий
Arachnothera longirostra_павуколов малий
Arachnothera magna_павуколов смугастий
Aramides albiventris_Russet-naped Wood-Rail
Aramides axillaris_пастушок гвіанський
Aramides cajaneus_пастушок сірошиїй
Aramides saracura_пастушок парагвайський
Aramides wolfi_пастушок гнідий
Aramides ypecaha_пастушок гігантський
Aramus guarauna_арама
Aratinga auricapillus_аратинга золотолобий
Aratinga jandaya_аратинга вогнистогрудий
Aratinga nenday_нандая
Aratinga weddellii_аратинга сіроголовий
Arborophila ardens_куріпка хайнанська
Arborophila atrogularis_куріпка білощока
Arborophila campbelli_Malaysian Partridge
Arborophila chloropus_Scaly-breasted Partridge
Arborophila crudigularis_куріпка тайванська
Arborophila hyperythra_куріпка борнейська
Arborophila javanica_куріпка яванська
Arborophila orientalis_куріпка суматранська
Arborophila rufogularis_куріпка непальська
Arborophila torqueola_куріпка чагарникова
Arcanator orostruthus_тимелія бура
Archilochus alexandri_колібрі фіолетовогорлий
Archilochus colubris_колібрі рубіновогорлий
Ardea alba_чепура велика
Ardea cinerea_чапля сіра
Ardea cocoi_кокої
Ardea herodias_чапля північна
Ardea intermedia_чепура середня
Ardea purpurea_чапля руда
Ardenna creatopus_буревісник рожевоногий
