Anodorhynchus leari_Indigoara
Anorrhinus galeritus_Bronsehornfugl
Anorrhinus tickelli_Brunhornfugl
Anous minutus_Svartnoddy
Anous stolidus_Brunnoddy
Anser albifrons_Tundragås
Anser anser_Grågås
Anser brachyrhynchus_Kortnebbgås
Anser caerulescens_Snøgås
Anser canagicus_Keisergås
Anser cygnoides_Svanegås
Anser erythropus_Dverggås
Anser fabalis_Sædgås
Anser indicus_Stripegås
Anser rossii_Eskimogås
Anser serrirostris_Tundrasædgås
Anseranas semipalmata_Skjæregås
Anthipes monileger_Prydfluesnapper
Anthipes solitaris_Kanelfluesnapper
Anthochaera carunculata_Rødflikhonningeter
Anthochaera chrysoptera_Banksiahonningeter
Anthochaera lunulata_Dryandrahonningeter
Anthochaera paradoxa_Gyllenflikhonningeter
Anthornis melanura_Maorihonningeter
Anthoscopus minutus_Svartpannepungmeis
Anthoscopus musculus_Brunpungmeis
Anthracoceros albirostris_Orienthornfugl
Anthracoceros coronatus_Hinduhornfugl
Anthracoceros malayanus_Malayhornfugl
Anthracothorax dominicus_Antillmango
Anthracothorax nigricollis_Svartbrystmango
Anthracothorax prevostii_Kullstrupemango
Anthreptes malacensis_Malaysolfugl
Anthreptes orientalis_Tornsolfugl
Anthreptes simplex_Glanspannesolfugl
Anthropoides paradiseus_Blue Crane
Anthropoides virgo_Demoiselle Crane
Anthus antarcticus_Sørgeorgiapiplerke
Anthus berthelotii_Kanaripiplerke
Anthus bogotensis_Paramopiplerke
Anthus brevirostris_Puna Pipit
Anthus campestris_Markpiplerke
Anthus cervinus_Lappiplerke
Anthus chacoensis_Chacopiplerke
Anthus cinnamomeus_Savannepiplerke
Anthus correndera_Correnderapiplerke
Anthus crenatus_Steinpiplerke
Anthus furcatus_Punapiplerke
Anthus godlewskii_Mongolpiplerke
Anthus gustavi_Tundrapiplerke
Anthus hellmayri_Pampaspiplerke
Anthus hodgsoni_Sibirpiplerke
Anthus leucophrys_Brannpiplerke
Anthus lineiventris_Stripepiplerke
Anthus lutescens_Gresspiplerke
Anthus nattereri_Okerpiplerke
Anthus novaeseelandiae_Australpiplerke
Anthus peruvianus_Perupiplerke
Anthus petrosus_Skjærpiplerke
Anthus pratensis_Heipiplerke
Anthus richardi_Tartarpiplerke
Anthus roseatus_Rosenpiplerke
Anthus rubescens_Myrpiplerke
Anthus rufulus_Orientpiplerke
Anthus similis_Langnebbpiplerke
Anthus spinoletta_Vannpiplerke
Anthus spragueii_Præriepiplerke
Anthus sylvanus_Bergpiplerke
Anthus trivialis_Trepiplerke
Antigone antigone_Sarustrane
Antigone canadensis_Kanadatrane
Antigone rubicunda_Brolgatrane
Antigone vipio_Hvitnakketrane
Antilophia bokermanni_Keisermanakin
Antilophia galeata_Hjelmmanakin
Antrostomus arizonae_Azteknattravn
Antrostomus badius_Mayanattravn
Antrostomus carolinensis_Karolinanattravn
Antrostomus noctitherus_Puertoriconattravn
Antrostomus ridgwayi_Mexiconattravn
Antrostomus rufus_Rustnattravn
Antrostomus saturatus_Costaricanattravn
Antrostomus sericocaudatus_Silkestjertnattravn
Antrostomus vociferus_Eikenattravn
Anumara forbesi_Sottrupial
Anumbius annumbi_Kvistsamler
Anurolimnas castaneiceps_Chestnut-headed Crake
Anurolimnas fasciatus_Black-banded Crake
Anurolimnas viridis_Russet-crowned Crake
Apalis chapini_Brunmaskeapalis
Apalis cinerea_Gråapalis
Apalis flavida_Gulbrystapalis
Apalis melanocephala_Svarthodeapalis
Apalis personata_Hvithalsapalis
Apalis porphyrolaema_Brunstrupeapalis
Apalis ruddi_Mosambikapalis
Apalis rufogularis_Sotapalis
Apalis sharpii_Skiferapalis
Apalis thoracica_Ringapalis
Apaloderma narina_Narinatrogon
Apaloderma vittatum_Blåbeltetrogon
Aphanotriccus audax_Svartnebbtyrann
Aphanotriccus capitalis_Lorgnettyrann
