Aplonis grandis_Salomoninkottarainen
Aplonis metallica_Viherkottarainen
Aplonis mysolensis_Molukkienkottarainen
Aplonis opaca_Mikronesiankottarainen
Aplonis panayensis_Kiiltokottarainen
Aplonis tabuensis_Polynesiankottarainen
Aprositornis disjuncta_Venezuelanmuura
Aprosmictus erythropterus_Epolettikaija
Aptenodytes patagonicus_Kuningaspingviini
Apteryx mantelli_Pohjoissaarenruskokiivi
Apus affinis_Pikkukiitäjä
Apus apus_Tervapääsky
Apus caffer_Häätökiitäjä
Apus melba_Apine Swift
Apus nipalensis_Idänpikkukiitäjä
Apus pacificus_Aasiankiitäjä
Apus pallidus_Vaaleakiitäjä
Apus unicolor_Madeirankiitäjä
Aquila adalberti_Iberiankeisarikotka
Aquila chrysaetos_Maakotka
Ara ararauna_Sinikelta-ara
Ara chloropterus_Vihersiipiara
Ara macao_Puna-ara
Ara militaris_Smaragdiara
Ara severus_Valkonaama-ara
Arachnothera everetti_Borneonharmaalukkinen
Arachnothera flavigaster_Rillilukkinen
Arachnothera longirostra_Tarhalukkinen
Arachnothera magna_Viirulukkinen
Aramides albiventris_Rsset-naped Wood-Rail
Aramides axillaris_Kastanjamangrovekana
Aramides cajaneus_Mölymangrovekana
Aramides saracura_Parananmangrovekana
Aramides wolfi_Ruskomangrovekana
Aramides ypecaha_Isomangrovekana
Aramus guarauna_Kotilokurki
Aratinga auricapillus_Kruunuaratti
Aratinga jandaya_Palmuaratti
Aratinga nenday_Huppuaratti
Aratinga weddellii_Harmaapääaratti
Arborophila ardens_Hainaninpyy
Arborophila atrogularis_Valkoposkipyy
Arborophila campbelli_Malesianviidakkopyy
Arborophila chloropus_Saly-breasted Partridge
Arborophila crudigularis_Taiwaninpyy
Arborophila hyperythra_Borneonpyy
Arborophila javanica_Jaavanpyy
Arborophila orientalis_Vuoriviidakkopyy
Arborophila rufogularis_Ruskokurkkupyy
Arborophila torqueola_Viidakkopyy
Arcanator orostruthus_Bulbulirastas
Archilochus alexandri_Mustakurkkukolibri
Archilochus colubris_Rubiinikurkkukolibri
Ardea alba_Jalohaikara
Ardea cinerea_Harmaahaikara
Ardea cocoi_Eteläamerikanhaikara
Ardea herodias_Amerikanharmaahaikara
Ardea intermedia_Pikkujalohaikara
Ardea purpurea_Ruskohaikara
Ardenna creatopus_Chilenliitäjä
Ardenna grisea_Nokiliitäjä
Ardenna pacifica_Suippopyrstöliitäjä
Ardeola bacchus_Kiinanriisihaikara
Ardeola grayii_Intianriisihaikara
Ardeola ralloides_Rääkkähaikara
Arenaria interpres_Karikukko
Arenaria melanocephala_Alaskankarikukko
Argusianus argus_Argusfasaani
Arizelocichla chlorigula_Masaibulbuli
Arremon abeillei_Ecuadorinnaamiosirkku
Arremon assimilis_Lyijyjuovasirkku
Arremon atricapillus_Mustahuppusirkku
Arremon aurantiirostris_Punanokkasirkku
Arremon basilicus_Santamartanjuovasirkku
Arremon brunneinucha_Ruskoniskasirkku
Arremon castaneiceps_Tuhkanaamasirkkunen
Arremon costaricensis_Costaricanjuovasirkku
Arremon crassirostris_Nokinaamasirkkunen
Arremon flavirostris_Pensasnaamiosirkku
Arremon franciscanus_Caatingasirkku
Arremon schlegeli_Kultaselkäsirkku
Arremon semitorquatus_Täplänaamiosirkku
Arremon taciturnus_Naamiosirkku
Arremon torquatus_Harmaajuovasirkku
Arremon virenticeps_Viherjuovasirkku
Arremonops chloronotus_Viherselkäsirkku
Arremonops conirostris_Isoviirusirkku
Arremonops rufivirgatus_Viirupääsirkku
Arremonops tocuyensis_Pikkuviirusirkku
Arses telescopthalmus_Röyhelömonarkki
Artamus cinereus_Tuhkaleiju
Artamus cyanopterus_Ruskoleiju
Artamus fuscus_Nokileiju
Artamus leucorynchus_Pääskyleiju
Artamus maximus_Papuanleiju
Artamus personatus_Naamioleiju
Artamus superciliosus_Ruskovatsaleiju
Artemisiospiza belli_Marunasirkku
Artemisiospiza nevadensis_Isomarunasirkku
Artisornis metopias_Tansanianräätäli
Artisornis moreaui_Metsäräätäli
Arundinax aedon_Paksunokkakerttunen
Arundinicola leucocephala_Valkohuppunapsu
Asemospiza fuliginosa_Nokisirkkunen
Asemospiza obscura_Peltosirkkunen
Asio clamator_Sriped Owl
Asio flammeus_Suopöllö
Asio otus_Sarvipöllö
Asio stygius_Tummasarvipöllö
Aspatha gularis_Sinikurkkumomotti
Asthenes anthoides_Chilenkanastero
Asthenes arequipae_Drk-winged Canastero
Asthenes baeri_Lyhytnokkakanastero
Asthenes coryi_Okrapiikkipyrstö
Asthenes dorbignyi_Punaperäkanastero
Asthenes flammulata_Viirukanastero
Asthenes fuliginosa_Ruskopiikkipyrstö
Asthenes griseomurina_Hiiripiikkipyrstö
Asthenes harterti_Bolivianpiikkipyrstö
Asthenes helleri_Punanpiikkipyrstö
Asthenes heterura_Isokanastero
Asthenes huancavelicae_Ple-tailed Canastero
Asthenes hudsoni_Suokanastero
Asthenes maculicauda_Viirupyrstökanastero
Asthenes modesta_Kolokanastero
Asthenes moreirae_Rionpiikkipyrstö
Asthenes ottonis_Ruosteotsakanastero
Asthenes palpebralis_Rillipiikkipyrstö
Asthenes perijana_Perijanpiikkipyrstö
Asthenes pudibunda_Kanjonikanastero
Asthenes pyrrholeuca_Purokanastero
Asthenes sclateri_Vuorikanastero
Asthenes urubambensis_Tummakanastero
Asthenes virgata_Pensaskanastero
Asthenes wyatti_Lakikanastero
Atalotriccus pilaris_Vaaleasilmätypäkkö
Atelornis crossleyi_Ruskomarhi
Atelornis pittoides_Pittamarhi
Athene blewitti_Hindustaninpöllö
Athene brama_Brahmanpöllö
Athene cunicularia_Preeriapöllö
Athene noctua_Minervanpöllö
Athene superciliaris_Madagaskarinhaukkapöllö
Atimastillas flavicollis_Metsäbulbuli
Atlapetes albinucha_Valkoniskasirkku
Atlapetes albofrenatus_Valkoviiksisirkku
Atlapetes crassus_Keltajuovasirkku
Atlapetes flaviceps_Oliivipääsirkku
Atlapetes fulviceps_Punapääsirkku
Atlapetes fuscoolivaceus_Huilansirkku
Atlapetes latinuchus_Keltaviiksisirkku
Atlapetes leucopis_Rillisirkku
Atlapetes leucopterus_Pilkkasiipisirkku
Atlapetes melanocephalus_Santamartansirkku
Atlapetes melanolaemus_Mustanaamasirkku
Atlapetes pallidiceps_Azuaynsirkku
Atlapetes pallidinucha_Ruso-otsasirkku
Atlapetes personatus_Tepuisirkku
Atlapetes pileatus_Ruskolakkisirkku
Atlapetes rufigenis_Kastanjapääsirkku
Atlapetes rufinucha_Rusokruunusirkku
Atlapetes schistaceus_Harmaapensassirkku
Atlapetes seebohmi_Cajamarcansirkku
Atlapetes semirufus_Ruostepensassirkku
Atlapetes tibialis_Keltahoususirkku
Atlapetes tricolor_Keltakruunusirkku
Atrichornis clamosus_Isotiheikkölaulaja
Atrichornis rufescens_Tiheikkölaulaja
Attagis gayi_Lumiylänköjuoksija
Atthis ellioti_Wne-throated Hummingbird
Atthis heloisa_Bmblebee Hummingbird
Atticora fasciata_Valkovyöpääsky
Atticora pileata_Back-capped Swallow
Atticora tibialis_Wite-thighed Swallow
Attila bolivianus_Valkosilmäattila
Attila cinnamomeus_Kaneliattila
Attila citriniventris_Pikkuattila
Attila phoenicurus_Rusopyrstöattila
Attila rufus_Harmaahuppuattila
Attila spadiceus_Kaappariattila
Attila torridus_Kelta-attila
Augastes lumachella_Mustasilmikkokolibri
Augastes scutatus_Vihersilmikkokolibri
Aulacorhynchus albivitta_Suthern Emerald-Toucanet
Aulacorhynchus atrogularis_Back-throated Toucanet
Aulacorhynchus caeruleogularis_Bue-throated Toucanet
Aulacorhynchus coeruleicinctis_Sinivyötukaani
Aulacorhynchus derbianus_Pilvitukaani
Aulacorhynchus haematopygus_Punaperätukaani
Aulacorhynchus prasinus_Smaragditukaani
Aulacorhynchus sulcatus_Vihertukaani
Auriparus flaviceps_Amerikanpussitiainen
Automolus exsertus_Ciriqui Foliage-gleaner
Automolus infuscatus_Harmaavatsaorneero
Automolus lammi_Pernambuconorneero
Automolus leucophthalmus_Valkosilmäorneero
Automolus melanopezus_Isolehtiorneero
Automolus ochrolaemus_Säämiskäkurkkuorneero
Automolus paraensis_Paranorneero
Automolus rufipileatus_Oranssisilmäorneero
Automolus subulatus_Räikkäorneero
Automolus virgatus_Wstern Woodhaunter
Aviceda subcristata_Töyhtöhaukka
Aythya americana_Amerikanpunasotka
Aythya collaris_Amerikantukkasotka
Aythya ferina_Punasotka
Aythya fuligula_Tukkasotka
Aythya marila_Lapasotka
Aythya nyroca_Ruskosotka
Aythya valisineria_Isopunasotka
Baeolophus atricristatus_Nokitöyhtötiainen
Baeolophus bicolor_Puistotiainen
Baeolophus inornatus_Kalifornianharmaatiainen
Baeolophus ridgwayi_Harmaatiainen
Baeolophus wollweberi_Amerikantöyhtötiainen
Baeopogon indicator_Hunajabulbuli
Balearica regulorum_Etelänkruunukurki
Bambusicola fytchii_Bambupyy
Bambusicola sonorivox_Tiwan Bamboo-Partridge
Bambusicola thoracicus_Pikkubambupyy
Bangsia aureocincta_Kolumbianvuoritangara
Bangsia edwardsi_Vihervuoritangara
Bangsia melanochlamys_Mustaviittatangara
Bangsia rothschildi_Kultarintatangara
Barnardius zonarius_Isosepelkaija
Bartramia longicauda_Preeriakahlaaja
Baryphthengus martii_Amazonianmomotti
Baryphthengus ruficapillus_Punamomotti
Basileuterus belli_Ruskonaamiokerttuli
Basileuterus culicivorus_Hippiäiskerttuli
Basileuterus lachrymosus_Viuhkapyrstökerttuli
Basileuterus melanogenys_Mustaposkikerttuli
Basileuterus melanotis_Csta Rican Warbler
Basileuterus rufifrons_Kastanjaposkikerttuli
Basileuterus trifasciatus_Harmaakurkkukerttuli
Basileuterus tristriatus_Juovapääkerttuli
Batara cinerea_Jättimuura
Bathmocercus rufus_Punavirtakerttunen
Batis capensis_Kirjotöpösieppo
Batis crypta_Iringantöpösieppo
Batis erlangeri_Hupputöpösieppo
Batis molitor_Akasiatöpösieppo
Batis orientalis_Pensastöpösieppo
Batis perkeo_Pikkutöpösieppo
Batis pririt_Tamariskitöpösieppo
Batrachostomus affinis_Pikkupöllökehrääjä
Batrachostomus auritus_Isopöllökehrääjä
Batrachostomus cornutus_Sarvipöllökehrääjä
Batrachostomus hodgsoni_Paljettipöllökehrääjä
Batrachostomus javensis_Jaavanpöllökehrääjä
Batrachostomus moniliger_Srilankanpöllökehrääjä
