Abeillia abeillei_Zielaczek
Amazilia tobaci_Copper-rumped Hummingbird
Amazilia tzacatl_Szmaragdzik brązowosterny
Amazilia versicolor_Versicolored Emerald
Amazilia violiceps_Violet-crowned Hummingbird
Amazilia viridicauda_Green-and-white Hummingbird
Amazilia yucatanensis_Szmaragdzik jukatański
Amazona aestiva_Amazonka niebieskoczelna
Amazona agilis_Amazonka mała
Amazona albifrons_Amazonka białoczelna
Amazona amazonica_Amazonka modrobrewa
Amazona auropalliata_Amazonka żółtoszyja
Amazona autumnalis_Amazonka zmienna
Amazona brasiliensis_Amazonka płomiennosterna
Amazona dufresniana_Amazonka niebieskolica
Amazona farinosa_Amazonka skromna
Amazona festiva_Amazonka czerwonoczelna
Amazona finschi_Amazonka liliowogłowa
Amazona guatemalae_Amazonka modra
Amazona kawalli_Amazonka białolica
Amazona leucocephala_Amazonka kubańska
Amazona mercenarius_Amazonka zielona
Amazona ochrocephala_Amazonka żółtogłowa
Amazona oratrix_Amazonka żółtogardła
Amazona rhodocorytha_Amazonka tęczowa
Amazona tucumana_Amazonka żółtouda
Amazona ventralis_Amazonka czarnoucha
Amazona vinacea_Amazonka pąsowa
Amazona viridigenalis_Amazonka krasnogłowa
Amazona xantholora_Amazonka żółtokantarowa
Amazonetta brasiliensis_Amazonetka
Amblycercus holosericeus_Atłasokacyk żółtodzioby
Amblyornis inornata_Ogrodnik brunatny
Amblyornis newtoniana_Golden Bowerbird
Amblyospiza albifrons_Brunatniczka
Amblyramphus holosericeus_Starzykowiec szkarłatny
Ammodramus aurifrons_Preriówek żółtolicy
Ammodramus humeralis_Preriówek białobrody
Ammodramus savannarum_Preriówek plamisty
Ammomanes cinctura_Skowronik rudawy
Ammomanes deserti_Skowronik piaskowy
Ammomanes phoenicura_Skowronik rdzawy
Ammonastes pelzelni_Ściółkowczyk szarobrzuchy
Ammoperdix heyi_Kuropatewka pustynna
Ammospiza caudacuta_Bagiennik ostrosterny
Ammospiza leconteii_Bagiennik prążkogłowy
Ammospiza maritima_Bagiennik żółtoczelny
Ammospiza nelsoni_Bagiennik płowy
Ampelioides tschudii_Owocojad kusy
Ampelion rubrocristatus_Andowiec czarniawy
Ampelion rufaxilla_Andowiec obrożny
Ampelornis griseiceps_Andomrowiniec
Amphilais seebohmi_Gray Emutail
Amphispiza bilineata_Wąsatek czarnogardły
Amphispiza quinquestriata_Wąsatek białobrody
Anabacerthia amaurotis_Liściowiec białobrewy
Anabacerthia lichtensteini_Liściowiec ochrowy
Anabacerthia ruficaudata_Liściowiec rudosterny
Anabacerthia striaticollis_Liściowiec okularowy
Anabacerthia variegaticeps_Liściowiec łuskoszyi
Anabathmis newtonii_Nektarnik zatokowy
Anabathmis reichenbachii_Nektarnik nigeryjski
Anabazenops dorsalis_Bambuśnik białobrzuchy
Anabazenops fuscus_Bambuśnik obrożny
Anairetes alpinus_Czuprynek peruwiański
Anairetes fernandezianus_Czuprynek wyspowy
Anairetes flavirostris_Czuprynek żółtodzioby
Anairetes nigrocristatus_Czuprynek czarnoczuby
Anairetes parulus_Czuprynek czubaty
Anairetes reguloides_Czuprynek rogaty
Anas acuta_Rożeniec (zwyczajny)
Anas andium_Cyraneczka andyjska
Anas carolinensis_Cyraneczka karolińska
Anas castanea_Cyraneczka kasztanowata
Anas crecca_Cyraneczka (zwyczajna)
Anas diazi_Krzyżówka meksykańska
Anas flavirostris_Cyraneczka żółtodzioba
Anas fulvigula_Krzyżówka florydzka
Anas georgica_Rożeniec żółtodzioby
Anas gracilis_Cyraneczka australijska
Anas platyrhynchos_Krzyżówka
Anas poecilorhyncha_Kaczka pstrodzioba
Anas rubripes_Brązówka
Anas superciliosa_Kaczka pacyficzna
Anas undulata_Kaczka żółtodzioba
Anas zonorhyncha_Kaczka chińska
Ancistrops strigilatus_Rdzawczyk kreskowany
Andigena hypoglauca_Andotukan niebieski
Andigena laminirostris_Andotukan pstrodzioby
Andigena nigrirostris_Andotukan czarnodzioby
