Anser rossii_ヒメハクガン
Anser serrirostris_ヒシクイ
Anseranas semipalmata_カササギガン
Anthipes monileger_ノドジロヒタキ
Anthipes solitaris_アカメヒタキ
Anthochaera carunculata_アカミミダレミツスイ
Anthochaera chrysoptera_ハイガシラミツスイ
Anthochaera lunulata_ギンホオミツスイ
Anthochaera paradoxa_キミミダレミツスイ
Anthornis melanura_ニュージーランドミツスイ
Anthoscopus minutus_キバラアフリカツリスガラ
Anthoscopus musculus_ネズミアフリカツリスガラ
Anthracoceros albirostris_キタカササギサイチョウ
Anthracoceros coronatus_カササギサイチョウ
Anthracoceros malayanus_クロサイチョウ
Anthracothorax dominicus_ウスミドリマンゴーハチドリ
Anthracothorax nigricollis_ムナグロマンゴーハチドリ
Anthracothorax prevostii_アオムネマンゴーハチドリ
Anthreptes malacensis_チャノドコバシタイヨウチョウ
Anthreptes orientalis_ヒガシスミレコバシタイヨウチョウ
Anthreptes simplex_オリーブコバシタイヨウチョウ
Anthropoides paradiseus_Blue Crane
Anthropoides virgo_Demoiselle Crane
Anthus antarcticus_サウスジョージアタヒバリ
Anthus berthelotii_カナリータヒバリ
Anthus bogotensis_アンデスタヒバリ
Anthus brevirostris_Puna Pipit
Anthus campestris_ムジタヒバリ
Anthus cervinus_ムネアカタヒバリ
Anthus chacoensis_ウスキイロタヒバリ
Anthus cinnamomeus_アフリカマミジロタヒバリ
Anthus correndera_セジマタヒバリ
Anthus crenatus_フナシイワタヒバリ
Anthus furcatus_コバシタヒバリ
Anthus godlewskii_コマミジロタヒバリ
Anthus gustavi_セジロタヒバリ
Anthus hellmayri_ウスイロタヒバリ
Anthus hodgsoni_ビンズイ
Anthus leucophrys_チャイロタヒバリ
Anthus lineiventris_スジハラタヒバリ
Anthus lutescens_キイロタヒバリ
Anthus nattereri_キムネタヒバリ
Anthus novaeseelandiae_Australasian Pipit
Anthus peruvianus_Peruvian Pipit
Anthus petrosus_ヨーロッパタヒバリ
Anthus pratensis_マキバタヒバリ
Anthus richardi_マミジロタヒバリ
Anthus roseatus_ウスベニタヒバリ
Anthus rubescens_アメリカタヒバリ
Anthus rufulus_ヒメマミジロタヒバリ
Anthus similis_ハシナガビンズイ
Anthus spinoletta_タヒバリ
Anthus spragueii_ヤブタヒバリ
Anthus sylvanus_コウゲンタヒバリ
Anthus trivialis_ヨーロッパビンズイ
Antigone antigone_オオヅル
Antigone canadensis_カナダヅル
Antigone rubicunda_オーストラリアヅル
Antigone vipio_マナヅル
Antilophia bokermanni_Araripe Manakin
Antilophia galeata_ヘルメットマイコドリ
Antrostomus arizonae_Mexican Whip-poor-will
Antrostomus badius_ユカタンウィルヨタカ
Antrostomus carolinensis_チャックウィルヨタカ
Antrostomus noctitherus_プエルトリコヨタカ
Antrostomus ridgwayi_クビワヨタカ
Antrostomus rufus_アカヨタカ
Antrostomus saturatus_ウスグロヨタカ
Antrostomus sericocaudatus_マルオヨタカ
Antrostomus vociferus_ホイップアーウィルヨタカ
Anumara forbesi_コミナミムクドリモドキ
Anumbius annumbi_ニワカマドドリ
Anurolimnas castaneiceps_Chestnut-headed Crake
Anurolimnas fasciatus_Black-banded Crake
Anurolimnas viridis_Russet-crowned Crake
Apalis chapini_タンザニアクリノドイロムシクイ
Apalis cinerea_ハイガシライロムシクイ
Apalis flavida_キムネイロムシクイ
Apalis melanocephala_ズグロイロムシクイ
Apalis personata_ミヤマカオグロイロムシクイ
Apalis porphyrolaema_クリノドイロムシクイ
Apalis ruddi_マユイロムシクイ
Apalis rufogularis_セグロイロムシクイ
Apalis sharpii_ウスグロイロムシクイ
Apalis thoracica_ムナオビイロムシクイ
Apaloderma narina_アフリカキヌバネドリ
Apaloderma vittatum_シマオアフリカキヌバネドリ
Aphanotriccus audax_ハシグロハエトリ
Aphanotriccus capitalis_ムネアカハシグロハエトリ
Aphantochroa cirrochloris_Sombre Hummingbird
Aphelocephala leucopsis_カオジロムシクイ
Aphelocoma californica_アメリカカケス
Aphelocoma coerulescens_フロリダカケス
Aphelocoma insularis_サンタクルスカケス
Aphelocoma ultramarina_メキシコカケス
Aphelocoma unicolor_ムジアオカケス
Aphelocoma wollweberi_Mexican Jay
Aphelocoma woodhouseii_Woodhouse's Scrub-Jay
Aphrastura spinicauda_ハリオカマドドリ
Aplonis atrifusca_サモアカラスモドキ
Aplonis cantoroides_ナキカラスモドキ
Aplonis grandis_オオカラスモドキ
Aplonis metallica_オナガテリカラスモドキ
Aplonis mysolensis_モルッカカラスモドキ
Aplonis opaca_カラスモドキ
Aplonis panayensis_ミドリカラスモドキ
Aplonis tabuensis_タテジマカラスモドキ
Aprositornis disjuncta_アゴジロアリドリ
Aprosmictus erythropterus_ハゴロモインコ
Aptenodytes patagonicus_オウサマペンギン
Apteryx mantelli_North Island Brown Kiwi
