Amphispiza quinquestriata_Setrnádka pětipruhá
Anabacerthia amaurotis_Hernčiřík jihobrazilský
Anabacerthia lichtensteini_Hernčiřík šedotemenný
Anabacerthia ruficaudata_Hernčiřík rezavoocasý
Anabacerthia striaticollis_Hernčiřík subtropický
Anabacerthia variegaticeps_Hernčiřík skořicovobrvý
Anabathmis newtonii_Setrdimil žlutoprsý
Anabathmis reichenbachii_Setrdimil žlutoskvrný
Anabazenops dorsalis_Hernčiřík bambusový
Anabazenops fuscus_Hernčiřík obojkový
Anairetes alpinus_Teyrančík velehorský
Anairetes fernandezianus_Teyrančík fernandezský
Anairetes flavirostris_Teyrančík žlutozobý
Anairetes nigrocristatus_Teyrančík černochocholatý
Anairetes parulus_Teyrančík kadeřavý
Anairetes reguloides_Teyrančík parukář
Anas acuta_Oestralka štíhlá
Anas andium_Andean Teal
Anas carolinensis_Čeírka karolinská
Anas castanea_Čeírka kaštanová
Anas crecca_Čeírka obecná
Anas diazi_Mexican Duck
Anas flavirostris_Čeírka kropenatá
Anas fulvigula_Mottled Duck
Anas georgica_Oestralka žlutozobá
Anas gracilis_Gray Teal
Anas platyrhynchos_Keachna divoká
Anas poecilorhyncha_Keachna skvrnozobá
Anas rubripes_Keachna tmavá
Anas superciliosa_Keachna proužkovaná
Anas undulata_Keachna žlutozobá
Anas zonorhyncha_Eastern Spot-billed Duck
Ancistrops strigilatus_Hernčiřík hákozobý
Andigena hypoglauca_Teukan horský
Andigena laminirostris_Teukan modrý
Andigena nigrirostris_Teukan černozobý
Androdon aequatorialis_Keolibřík háčkozobý
Andropadus importunus_Beulbul tmavý
Anhima cornuta_Keamiš růžkatý
Anhinga anhinga_Aenhinga americká
Anhinga melanogaster_Aenhinga rezavá
Anhinga novaehollandiae_Aenhinga australská
Anisognathus igniventris_Teangara červenobřichá
Anisognathus lacrymosus_Teangara slzavá
Anisognathus notabilis_Teangara skalní
Anisognathus somptuosus_Teangara jižní
Anodorhynchus hyacinthinus_Aera hyacintový
